Source Target Type distance lanes speed_limit
3 7 Undirected 91 4 35
7 9 Undirected 97 3 35
9 18 Undirected 523 2 35
18 9 Undirected 523 1 35
18 23 Undirected 275 1 35
23 18 Undirected 275 1 35
23 25 Undirected 169 1 35
25 23 Undirected 169 1 35
38 44 Undirected 273 1 35
44 38 Undirected 273 1 35
25 38 Undirected 339 2 35
38 25 Undirected 339 2 35
44 45 Undirected 318 2 35
45 44 Undirected 318 2 35
38 39 Undirected 315 1 35
39 38 Undirected 315 1 35
25 27 Undirected 411 2 35
27 25 Undirected 411 2 35
23 24 Undirected 483 1 35
24 23 Undirected 483 1 35
18 20 Undirected 382 2 35
20 18 Undirected 382 2 35
9 12 Undirected 207 4 35
7 8 Undirected 172 2 35
8 7 Undirected 172 2 35
6 3 Undirected 123 2 35
6 1 Undirected 261 4 35
8 6 Undirected 70 3 35
12 8 Undirected 96 4 35
16 20 Undirected 158 2 35
20 16 Undirected 158 2 35
16 12 Undirected 360 2 35
12 16 Undirected 360 2 35
20 24 Undirected 254 3 35
24 20 Undirected 254 3 35
24 27 Undirected 183 2 35
27 24 Undirected 183 2 35
27 35 Undirected 177 3 35
35 39 Undirected 109 3 35
39 40 Undirected 108 3 35
40 45 Undirected 195 1 35
45 40 Undirected 195 1 35
45 46 Undirected 70 2 35
46 45 Undirected 70 2 35
40 42 Undirected 81 2 35
37 35 Undirected 91 2 35
27 28 Undirected 84 2 35
28 27 Undirected 84 3 35
28 30 Undirected 234 3 35
30 28 Undirected 234 2 35
33 34 Undirected 366 2 35
34 33 Undirected 366 2 35
26 33 Undirected 187 1 35
33 26 Undirected 187 1 35
30 33 Undirected 151 3 35
33 30 Undirected 151 2 35
26 30 Undirected 101 1 35
30 26 Undirected 101 1 35
24 26 Undirected 273 1 35
26 24 Undirected 273 1 35
36 28 Undirected 243 2 35
28 37 Undirected 209 2 35
37 28 Undirected 209 2 35
42 37 Undirected 213 2 35
46 42 Undirected 169 1 35
42 46 Undirected 169 1 35
46 48 Undirected 276 2 35
48 46 Undirected 276 2 35
43 48 Undirected 340 2 35
48 47 Undirected 283 1 35
47 48 Undirected 283 1 35
48 57 Undirected 562 2 35
57 48 Undirected 562 2 35
46 60 Undirected 718 1 35
60 46 Undirected 718 1 35
60 57 Undirected 358 2 35
57 60 Undirected 358 2 35
57 66 Undirected 376 1 35
66 57 Undirected 376 1 35
36 43 Undirected 296 1 35
43 36 Undirected 296 1 35
24 36 Undirected 383 2 35
36 24 Undirected 383 2 35
47 43 Undirected 106 4 35
4 1 Undirected 244 2 35
4 10 Undirected 250 1 35
10 4 Undirected 250 1 35
8 10 Undirected 143 2 35
10 8 Undirected 143 2 35
10 13 Undirected 378 2 35
13 10 Undirected 378 2 35
11 13 Undirected 265 4 35
13 15 Undirected 214 5 35
15 11 Undirected 361 5 35
11 17 Undirected 814 2 35
17 11 Undirected 814 2 35
5 34 Undirected 1389 2 35
34 5 Undirected 1389 2 35
21 16 Undirected 537 2 35
15 21 Undirected 266 2 35
21 15 Undirected 266 2 35
21 24 Undirected 576 1 35
24 21 Undirected 576 1 35
17 32 Undirected 703 1 35
32 17 Undirected 703 1 35
34 32 Undirected 441 2 35
32 34 Undirected 441 3 35
32 31 Undirected 373 2 35
31 32 Undirected 373 3 35
32 51 Undirected 659 2 35
51 32 Undirected 659 2 35
31 50 Undirected 605 1 35
50 31 Undirected 605 1 35
51 50 Undirected 116 2 35
50 51 Undirected 116 2 35
50 49 Undirected 108 2 35
49 50 Undirected 108 2 35
54 50 Undirected 286 1 35
51 55 Undirected 383 2 35
55 51 Undirected 383 2 35
51 52 Undirected 679 2 35
52 51 Undirected 679 1 35
55 59 Undirected 195 2 35
59 55 Undirected 195 2 35
59 61 Undirected 476 3 35
61 59 Undirected 476 3 35
58 62 Undirected 137 2 35
62 58 Undirected 137 2 35
61 62 Undirected 116 2 35
62 64 Undirected 132 2 35
64 62 Undirected 132 2 35
64 61 Undirected 201 3 35
61 58 Undirected 153 1 35
52 58 Undirected 334 2 35
58 52 Undirected 334 2 35
34 52 Undirected 796 2 35
52 34 Undirected 796 2 35
66 65 Undirected 517 1 35
65 66 Undirected 517 1 35
69 65 Undirected 241 1 35
65 69 Undirected 241 1 35
65 61 Undirected 524 2 35
61 65 Undirected 524 2 35
47 56 Undirected 617 1 35
56 47 Undirected 617 1 35
56 61 Undirected 368 2 35
61 56 Undirected 368 2 35
5 2 Undirected 704 3 35
2 5 Undirected 704 3 35
2 14 Undirected 598 2 35
14 2 Undirected 598 2 35
14 19 Undirected 327 2 35
19 14 Undirected 327 2 35
17 14 Undirected 590 2 35
14 17 Undirected 590 2 35
17 22 Undirected 396 2 35
22 17 Undirected 396 2 35
22 31 Undirected 413 2 35
31 22 Undirected 413 2 35
22 19 Undirected 412 1 35
19 22 Undirected 412 1 35
19 29 Undirected 542 2 35
22 29 Undirected 545 2 35
29 22 Undirected 545 2 35
31 29 Undirected 550 3 35
29 31 Undirected 550 3 35
29 41 Undirected 341 2 35
41 29 Undirected 341 2 35
49 41 Undirected 533 1 35
41 49 Undirected 533 1 35
49 53 Undirected 313 1 35
53 49 Undirected 313 1 35
54 53 Undirected 226 2 35
53 54 Undirected 226 2 35
55 54 Undirected 205 2 35
54 55 Undirected 205 2 35
59 63 Undirected 266 1 35
63 59 Undirected 266 1 35
41 53 Undirected 566 2 35
53 41 Undirected 566 2 35
53 70 Undirected 880 1 35
70 53 Undirected 880 1 35
70 68 Undirected 516 2 35
70 72 Undirected 116 1 35
72 70 Undirected 116 1 35
74 72 Undirected 413 2 35
72 74 Undirected 413 2 35
75 74 Undirected 153 2 35
74 75 Undirected 153 2 35
74 71 Undirected 161 3 35
73 75 Undirected 170 1 35
67 73 Undirected 294 1 35
63 67 Undirected 127 1 35
67 63 Undirected 127 1 35
68 63 Undirected 476 2 35
68 67 Undirected 247 2 35
73 71 Undirected 131 1 35
71 68 Undirected 188 2 35
80 75 Undirected 779 1 35
75 80 Undirected 779 1 35
64 78 Undirected 703 2 35
78 64 Undirected 703 2 35
78 80 Undirected 96 3 35
80 78 Undirected 96 4 35
78 77 Undirected 145 3 35
76 77 Undirected 295 3 35
77 81 Undirected 155 4 35
81 82 Undirected 140 3 35
82 78 Undirected 125 2 35
82 80 Undirected 113 2 35
80 82 Undirected 113 1 35
81 79 Undirected 377 3 35
79 76 Undirected 172 4 35
66 69 Undirected 133 2 35
69 66 Undirected 133 2 35
76 69 Undirected 480 2 35
69 79 Undirected 709 2 35
